,delay_in_seconds,luminosity,avg_temperature,avg_atm_pressure,avg_humidity,avg_wind_speed,avg_rain,total_estradas,Month,Day,Hour
0,0,0,12.0,1013.0,70.0,1.0,0,0,3,15,23
1,385,0,12.0,1007.0,91.0,1.0,0,1,12,25,18
2,69,1,14.0,1025.0,64.0,0.0,0,0,3,12,15
3,2297,1,15.0,1028.0,75.0,1.0,0,11,9,29,9
4,0,1,27.0,1020.0,52.0,1.0,0,5,6,13,11
5,0,0,9.0,1015.0,94.0,0.0,0,8,12,7,23
6,0,0,8.0,1026.0,87.0,1.0,0,5,12,5,5
7,0,0,16.0,1012.0,71.0,2.0,0,5,4,14,23
8,1368,1,14.0,1017.0,67.0,5.0,0,9,5,1,12
9,10431,1,23.0,1018.0,40.0,0.0,0,32,10,11,18
10,0,1,23.0,1015.0,67.0,0.0,0,5,7,27,20
11,0,1,11.0,1017.0,76.0,2.0,0,5,11,24,12
12,0,1,7.0,1020.0,60.0,0.0,0,0,3,19,8
13,633,0,9.0,1030.0,65.0,1.0,0,7,11,6,20
14,167,1,16.0,1016.0,67.0,0.0,0,5,11,1,13
15,121,1,11.0,1003.0,91.0,2.0,3,0,1,20,10
16,0,0,17.0,1018.0,83.0,0.0,0,3,10,16,19
17,0,0,11.0,1018.0,82.0,1.0,0,0,3,6,1
18,1364,1,19.0,1020.0,60.0,0.0,0,8,11,13,12
19,2186,1,15.0,1020.0,64.0,1.0,0,8,11,20,11
20,0,0,15.0,1019.0,61.0,1.0,0,5,10,8,3
21,0,1,6.0,1025.0,88.0,2.0,0,5,12,12,8
22,463,1,12.0,1013.0,92.0,3.0,0,0,2,2,15
23,612,1,17.0,1017.0,67.0,1.0,0,8,4,5,10
24,0,0,12.0,1013.0,94.0,0.0,0,0,12,27,7
25,0,1,13.0,1008.0,91.0,2.0,2,5,4,25,7
26,0,0,9.0,1019.0,66.0,1.0,0,5,4,18,5
27,0,2,8.0,1020.0,76.0,2.0,0,5,11,13,7
28,0,0,19.0,1016.0,56.0,0.0,0,5,6,25,21
29,64,1,8.0,1012.0,91.0,4.0,0,0,1,22,9
30,0,0,13.0,1014.0,94.0,0.0,0,0,3,4,20
31,0,1,18.0,1019.0,55.0,0.0,0,5,6,3,17
32,0,0,11.0,1012.0,72.0,2.0,0,5,4,30,21
33,0,0,8.0,1025.0,56.0,2.0,0,5,12,16,3
34,0,1,10.0,1020.0,93.0,0.0,0,2,12,1,16
35,0,0,10.0,1023.0,65.0,4.0,0,5,11,18,3
36,0,1,14.0,1023.0,75.0,0.0,0,5,10,24,9
37,0,0,12.0,1018.0,90.0,0.0,0,5,6,30,1
38,6372,1,16.0,1017.0,47.0,0.0,0,22,4,19,18
39,0,0,8.0,1020.0,55.0,1.0,0,5,11,15,0
40,0,0,12.0,1017.0,73.0,2.0,0,5,12,20,4
41,0,0,16.0,1016.0,91.0,0.0,0,5,7,22,23
42,0,0,4.0,1021.0,82.0,0.0,0,2,11,27,23
43,12506,0,11.0,1025.0,62.0,2.0,0,36,12,17,18
44,84,0,17.0,1007.0,93.0,0.0,0,6,10,31,3
45,0,0,10.0,1011.0,91.0,0.0,0,0,1,21,3
46,0,0,13.0,1008.0,94.0,0.0,0,0,12,26,20
47,210,1,14.0,1021.0,77.0,5.0,0,7,5,12,13
48,160,2,13.0,1016.0,79.0,3.0,0,5,11,1,17
49,0,0,13.0,1019.0,84.0,1.0,0,5,7,12,5
50,0,0,17.0,1015.0,87.0,2.0,0,5,7,19,21
51,0,0,19.0,1019.0,42.0,2.0,0,5,10,10,22
52,0,0,10.0,1024.0,82.0,2.0,0,0,12,14,0
53,0,0,7.0,1011.0,94.0,0.0,0,5,11,3,3
54,0,0,15.0,1022.0,93.0,0.0,0,5,9,28,2
55,0,0,17.0,1019.0,88.0,0.0,0,5,7,21,23
56,0,1,17.0,1019.0,92.0,0.0,0,5,7,3,7
57,0,0,11.0,1025.0,55.0,2.0,0,5,12,16,2
58,0,0,10.0,1012.0,91.0,0.0,0,5,4,21,5
59,361,0,14.0,1022.0,78.0,0.0,0,5,10,23,20
60,0,0,17.0,1023.0,77.0,0.0,0,5,9,30,21
61,0,1,11.0,1027.0,66.0,4.0,0,0,1,18,10
62,2230,1,16.0,1018.0,46.0,2.0,0,9,10,12,8
63,240,1,21.0,1018.0,58.0,1.0,0,5,9,17,11
64,274,1,16.0,1020.0,82.0,1.0,0,5,5,6,10
65,0,1,18.0,1015.0,92.0,0.0,0,5,10,2,14
66,0,1,13.0,1022.0,94.0,1.0,0,5,12,28,9
67,0,0,11.0,1022.0,62.0,2.0,0,5,6,5,4
68,0,0,15.0,1012.0,92.0,0.0,0,5,6,17,22
69,0,1,22.0,1016.0,62.0,0.0,0,5,6,26,13
70,111,1,15.0,1006.0,83.0,0.0,0,5,4,28,14
71,1842,1,18.0,1018.0,63.0,4.0,0,10,5,5,19
72,180,1,14.0,1018.0,92.0,0.0,0,6,7,2,7
73,1140,1,14.0,1022.0,61.0,1.0,0,7,11,19,11
74,0,0,17.0,1014.0,45.0,3.0,0,5,3,31,5
75,42,0,19.0,1022.0,59.0,3.0,0,6,9,20,21
76,223,1,11.0,1022.0,92.0,1.0,0,0,1,29,8
77,0,0,11.0,1010.0,91.0,1.0,0,5,4,22,5
78,0,0,13.0,1010.0,91.0,1.0,0,5,4,25,1
79,80,0,11.0,1004.0,92.0,0.0,0,0,12,24,21
80,174,1,11.0,1027.0,78.0,1.0,0,5,11,30,11
81,1845,1,18.0,1018.0,74.0,1.0,0,9,10,16,12
82,356,0,13.0,1019.0,75.0,0.0,0,8,11,10,20
83,2916,1,12.0,1021.0,66.0,0.0,0,14,11,15,9
84,0,0,17.0,1019.0,89.0,0.0,0,5,9,17,0
85,0,0,7.0,1028.0,87.0,1.0,0,0,1,17,20
86,0,1,9.0,1017.0,68.0,1.0,0,3,11,24,10
87,0,0,20.0,1019.0,81.0,2.0,0,5,6,12,22
88,0,0,15.0,1020.0,84.0,0.0,0,5,6,7,4
89,0,1,9.0,1012.0,91.0,0.0,3,0,1,23,8
90,0,0,13.0,1020.0,62.0,2.0,0,0,3,20,19
91,52,1,13.0,1024.0,78.0,2.0,0,0,3,2,13
92,0,1,13.0,1011.0,87.0,4.0,0,0,2,3,11
93,175,0,15.0,1019.0,87.0,0.0,0,5,6,30,22
94,0,0,9.0,1026.0,92.0,0.0,0,5,12,11,0
95,0,0,13.0,1020.0,72.0,2.0,0,5,11,20,5
96,0,0,15.0,1019.0,86.0,0.0,0,5,7,6,22
97,7094,1,15.0,1016.0,88.0,2.0,0,22,6,2,18
98,0,1,14.0,1016.0,92.0,1.0,0,5,6,27,8
99,2559,0,12.0,1020.0,69.0,1.0,0,11,11,16,19
