iter	Passed	Remaining
0	2	1476
1	4	1489
2	6	1528
3	8	1490
4	10	1411
5	11	1351
6	13	1309
7	15	1342
8	17	1325
9	19	1329
10	20	1311
11	22	1291
12	24	1297
13	26	1305
14	28	1311
15	31	1330
16	33	1333
17	34	1309
18	36	1296
19	38	1295
20	39	1272
21	41	1284
22	43	1273
23	46	1308
24	49	1339
25	51	1335
26	53	1328
27	54	1313
28	56	1300
29	57	1288
30	59	1282
31	60	1272
32	62	1271
33	64	1272
34	66	1267
35	68	1258
36	69	1249
37	71	1244
38	73	1239
39	74	1229
40	75	1219
41	77	1220
42	79	1219
43	81	1214
44	83	1210
45	84	1202
46	86	1196
47	87	1192
48	89	1187
49	90	1182
50	92	1180
51	94	1175
52	95	1170
53	97	1168
54	99	1163
55	100	1157
56	102	1152
57	103	1147
58	105	1146
59	106	1139
60	108	1139
61	110	1135
62	112	1136
63	114	1134
64	115	1130
65	117	1125
66	118	1121
67	120	1121
68	122	1117
69	123	1115
70	125	1115
71	127	1112
72	129	1109
73	130	1105
74	132	1103
75	134	1102
76	135	1098
77	137	1096
78	139	1094
79	140	1092
80	142	1090
81	144	1087
82	146	1085
83	147	1082
84	149	1082
85	151	1078
86	152	1075
87	154	1074
88	156	1071
89	157	1069
90	159	1067
91	161	1065
92	162	1062
93	164	1058
94	165	1055
95	167	1052
96	169	1051
97	170	1050
98	172	1049
99	174	1047
100	176	1046
101	178	1045
102	179	1041
103	181	1039
104	183	1038
105	184	1034
106	186	1032
107	187	1029
108	190	1031
109	191	1029
110	193	1026
111	196	1033
112	198	1032
113	200	1031
114	202	1031
115	205	1032
116	206	1031
117	209	1031
118	210	1027
119	212	1024
120	214	1026
121	216	1026
122	218	1025
123	220	1023
124	222	1021
125	224	1021
126	225	1019
127	227	1017
128	229	1016
129	231	1015
130	233	1014
131	235	1013
132	237	1014
133	239	1013
134	241	1010
135	243	1009
136	245	1009
137	247	1008
138	249	1007
139	251	1004
140	252	1001
141	255	1003
142	257	1002
143	259	1000
144	260	997
145	262	994
146	263	991
147	265	988
148	266	986
149	268	983
150	269	981
151	272	981
152	273	978
153	275	976
154	276	973
155	278	971
156	280	969
157	281	966
158	283	965
159	285	962
160	286	960
161	288	958
162	290	956
163	291	953
164	293	952
165	295	949
166	296	947
167	298	945
168	300	943
169	301	941
170	303	939
171	305	938
172	307	936
173	308	933
174	310	931
175	312	931
176	314	928
177	316	927
178	318	926
179	319	923
180	321	921
181	322	919
182	324	916
183	325	914
184	327	912
185	329	911
186	331	908
187	332	906
188	334	904
189	336	902
190	337	900
191	339	898
192	341	895
193	342	894
194	344	892
195	345	889
196	347	886
197	349	885
198	351	883
199	352	881
200	354	879
201	355	876
202	357	874
203	358	872
204	360	869
205	361	867
206	363	865
207	364	862
208	366	860
209	368	859
210	369	857
211	371	854
212	372	852
213	374	850
214	376	850
215	378	848
216	380	846
217	382	844
218	384	843
219	385	840
220	387	839
221	389	838
222	391	836
223	392	834
224	394	831
225	395	830
226	397	828
227	400	829
228	402	827
229	403	824
230	405	823
231	407	821
232	408	819
233	410	817
234	411	815
235	413	813
236	415	811
237	416	809
238	418	807
239	420	805
240	421	803
241	423	801
242	425	799
243	426	797
244	428	795
245	429	792
246	431	792
247	433	790
248	435	788
249	436	786
250	439	785
251	441	784
252	443	782
253	444	781
254	446	779
255	448	778
256	450	776
257	452	774
258	453	772
259	456	772
260	457	770
261	459	768
262	461	766
263	463	764
264	464	763
265	466	761
266	468	759
267	470	758
268	471	756
269	473	754
270	475	752
271	477	750
272	479	749
273	481	748
274	483	747
275	485	746
276	487	744
277	489	743
278	492	742
279	494	741
280	496	739
281	497	738
282	499	736
283	501	733
284	503	732
285	504	730
286	505	728
287	507	726
288	509	725
289	511	723
290	513	722
291	515	720
292	517	718
293	520	718
294	521	716
295	523	714
296	525	712
297	526	710
298	528	708
299	530	706
300	531	705
301	533	703
302	535	701
303	536	699
304	538	697
305	539	695
306	541	693
307	543	691
308	545	690
309	547	688
310	549	687
311	550	685
312	552	682
313	554	681
314	555	679
315	557	677
316	559	676
317	561	674
318	563	672
319	564	670
320	566	668
321	567	666
322	569	664
323	571	662
324	572	661
325	574	659
326	576	657
327	578	656
328	581	655
329	582	653
330	584	651
331	586	649
332	587	647
333	589	645
334	591	644
335	593	642
336	594	640
337	596	638
338	598	637
339	599	635
340	601	633
341	603	631
342	605	629
343	607	628
344	608	626
345	610	624
346	611	622
347	614	621
348	615	619
349	617	617
350	619	615
351	620	613
352	622	611
353	624	610
354	625	608
355	627	606
356	629	604
357	630	602
358	632	601
359	634	599
360	636	597
361	637	595
362	639	593
363	641	591
364	642	589
365	644	587
366	645	585
367	647	583
368	648	581
369	650	580
370	652	578
371	654	576
372	656	575
373	658	573
374	660	572
375	663	571
376	665	569
377	666	568
378	669	567
379	671	565
380	673	564
381	675	562
382	676	560
383	678	558
384	680	556
385	681	554
386	683	552
387	685	551
388	687	549
389	689	547
390	691	546
391	692	544
392	694	542
393	695	540
394	697	538
395	699	536
396	701	535
397	702	533
398	704	531
399	706	529
400	708	527
401	710	526
402	711	524
403	713	522
404	714	520
405	716	518
406	718	516
407	719	515
408	721	513
409	723	511
410	724	509
411	726	508
412	728	506
413	730	504
414	732	502
415	733	501
416	735	499
417	736	497
418	738	495
419	739	493
420	741	491
421	743	489
422	744	487
423	746	486
424	748	484
425	750	482
426	751	480
427	753	478
428	754	476
429	756	474
430	757	472
431	759	471
432	760	469
433	762	467
434	764	465
435	766	463
436	767	462
437	769	460
438	772	459
439	774	457
440	776	455
441	778	454
442	779	452
443	781	450
444	783	448
445	784	446
446	786	445
447	788	443
448	790	441
449	791	439
450	793	438
451	795	436
452	797	434
453	799	433
454	801	431
455	802	429
456	804	427
457	805	425
458	807	423
459	809	422
460	810	420
461	812	418
462	814	416
463	815	414
464	817	412
465	818	411
466	820	409
467	821	407
468	823	405
469	825	403
470	826	402
471	828	400
472	830	398
473	831	396
474	833	394
475	835	393
476	837	391
477	839	389
478	840	387
479	842	386
480	843	384
481	845	382
482	847	380
483	849	378
484	850	377
485	852	375
486	854	373
487	855	371
488	857	370
489	859	368
490	861	366
491	863	364
492	864	363
493	866	361
494	867	359
495	869	357
496	871	355
497	872	354
498	874	352
499	876	350
500	877	348
501	879	346
502	881	345
503	882	343
504	884	341
505	886	339
506	887	338
507	889	336
508	890	334
509	892	332
510	894	330
511	896	329
512	897	327
513	899	325
514	901	323
515	903	322
516	904	320
517	905	318
518	907	316
519	909	314
520	911	313
521	913	311
522	915	309
523	916	307
524	918	306
525	920	304
526	921	302
527	923	300
528	925	299
529	927	297
530	928	295
531	930	293
532	932	292
533	934	290
534	936	288
535	937	286
536	939	285
537	942	283
538	944	282
539	946	280
540	948	278
541	949	276
542	951	275
543	952	273
544	954	271
545	956	269
546	958	268
547	960	266
548	963	264
549	965	263
550	967	261
